Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99411.0,San Saba (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99413.0,Schleicher (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99415.0,Scurry (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99417.0,Shackelford (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99421.0,Sherman (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99423.0,Smith (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99425.0,Somervell (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99427.0,Starr (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99429.0,Stephens (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99431.0,Sterling (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99433.0,Stonewall (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99435.0,Sutton (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99437.0,Swisher (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99439.0,Tarrant (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99441.0,Taylor (County),8035
3284,No,No,Yes,No,TX,2008-03-14 00:00:00,EM,Fire,WILDFIRES,2008-03-14 00:00:00,2008-09-01 00:00:00,2012-10-22 00:00:00,99443.0,Terrell (County),8035
