Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Disaster Close Out Date,Place Code,Declared County/Area,Declaration Request Number
1859,Yes,No,Yes,Yes,AS,2009-09-29 21:55:00,DR,Earthquake,"EARTHQUAKE,TSUNAMI, AND FLOODING",2009-09-29 06:00:00,2009-10-06 00:00:00,,99030.0,Rose Island (Island) (County-equivalent),9114
1859,Yes,No,Yes,Yes,AS,2009-09-29 21:55:00,DR,Earthquake,"EARTHQUAKE,TSUNAMI, AND FLOODING",2009-09-29 06:00:00,2009-10-06 00:00:00,,99040.0,Swains Island (Island) (County-equivalent),9114
1859,Yes,No,Yes,Yes,AS,2009-09-29 21:55:00,DR,Earthquake,"EARTHQUAKE,TSUNAMI, AND FLOODING",2009-09-29 06:00:00,2009-10-06 00:00:00,,99050.0,Western (District),9114
1664,Yes,Yes,Yes,Yes,HI,2006-10-17 16:48:00,DR,Earthquake,EARTHQUAKE,2006-10-15 14:00:00,2007-01-15 17:48:00,,99001.0,Hawaii (County),6163
1664,Yes,Yes,Yes,Yes,HI,2006-10-17 16:48:00,DR,Earthquake,EARTHQUAKE,2006-10-15 14:00:00,2007-01-15 17:48:00,,99003.0,Honolulu (County),6163
1664,Yes,Yes,Yes,Yes,HI,2006-10-17 16:48:00,DR,Earthquake,EARTHQUAKE,2006-10-15 14:00:00,2007-01-15 17:48:00,,99007.0,Kauai (County),6163
1664,Yes,Yes,Yes,Yes,HI,2006-10-17 16:48:00,DR,Earthquake,EARTHQUAKE,2006-10-15 14:00:00,2007-01-15 17:48:00,,99009.0,Maui (County),6163
1505,Yes,Yes,Yes,Yes,CA,2004-01-13 00:00:00,DR,Earthquake,EARTHQUAKE,2003-12-22 14:15:00,2004-02-06 00:00:00,2018-12-17 23:59:00,99079.0,San Luis Obispo (County),4001
1505,Yes,Yes,Yes,Yes,CA,2004-01-13 00:00:00,DR,Earthquake,EARTHQUAKE,2003-12-22 14:15:00,2004-02-06 00:00:00,2018-12-17 23:59:00,99083.0,Santa Barbara (County),4001
1440,Yes,Yes,Yes,Yes,AK,2002-11-08 19:25:00,DR,Earthquake,EARTHQUAKE,2002-11-03 00:55:00,2002-11-10 00:00:00,2013-09-30 23:59:00,99068.0,Denali (Borough),2145
